index,1_0_560,1_0_777,1_0.1_560,1_0.1_777,1_0.3_560,1_0.3_777,1_0.6_560,1_0.6_777
121,6467,12939,6399,13337,6412,13262,6335,12900
122,6383,13011,6468,13174,6357,13141,6308,12896
123,6441,13079,6425,13119,6417,13284,6439,12890
124,6391,13031,6457,13405,6399,13170,6280,12896
125,6383,12973,6436,13327,6358,13245,6311,12885
126,6461,13103,6338,13360,6465,13299,6196,12814
127,6385,13159,6500,13295,6263,13372,6269,12790
128,6413,12931,6353,13428,6377,13301,6367,12863
129,6413,13112,6345,13439,6317,13051,6312,12839
130,6309,13209,6338,13412,6408,13099,6243,12819
131,6355,13144,6379,13241,6397,13287,6244,12780
132,6296,13207,6263,13327,6416,13320,6257,12886
133,6420,13085,6345,13125,6301,13233,6219,12868
134,6377,13123,6299,13275,6428,13233,6194,12826
135,6356,13146,6432,13339,6419,13358,6294,12857
136,6223,13045,6406,13405,6373,13244,6205,12910
137,6443,13220,6343,13423,6306,13215,6332,12853
138,6229,13108,6435,13527,6289,13403,6321,12939
139,6362,13244,6343,13469,6331,13238,6179,12817
140,6253,13141,6347,13589,6310,13535,6253,12740
141,6240,13196,6353,13548,6333,13399,6216,12912
142,6269,13164,6339,13597,6191,13399,6212,12943
143,6324,13308,6296,13517,6279,13378,6167,12895
144,6383,13333,6321,13611,6285,13411,6252,12795
145,6308,13215,6399,13695,6351,13461,6173,12782
146,6260,13107,6420,13614,6400,13525,6331,13006
147,6282,13305,6342,13665,6261,13501,6328,12989
148,6223,13415,6276,13837,6361,13517,6289,12855
149,6237,13332,6405,13734,6295,13610,6222,13004
150,6310,13311,6313,13850,6226,13476,6242,13027
151,6209,13515,6311,13691,6244,13618,6261,13021
152,6295,13503,6277,13989,6254,13640,6250,12927
153,6228,13187,6352,13700,6205,13644,6233,13140
154,6251,13219,6253,13919,6317,13566,6262,12981
155,6234,13263,6281,13964,6357,13497,6206,13116
156,6243,13307,6261,14119,6213,13367,6153,13032
157,6204,13428,6295,14079,6294,13623,6083,13045
158,6204,13276,6326,14122,6203,13627,6134,13165
159,6163,13332,6187,14141,6163,13578,6133,13156
160,6111,13414,6255,14181,6227,13728,6188,13058
161,6255,13431,6255,14097,6288,13648,6169,13123
162,6247,13263,6287,14125,6265,13721,6195,13111
163,6223,13422,6397,14301,6145,13684,6195,13240
164,6171,13352,6351,14323,6215,13753,6198,13065
165,6261,13335,6260,14268,6272,13829,6226,13373
166,6157,13342,6297,14460,6169,13775,6084,13344
167,6260,13499,6295,14341,6177,13877,6084,13259
168,6192,13698,6218,14340,6229,13793,6272,13196
169,6186,13542,6248,14458,6277,14045,6057,13205
170,6123,13475,6237,14249,6215,13886,6113,13359
171,6212,13543,6209,14425,6188,14120,6064,13454
172,6116,13440,6245,14436,6245,14110,6216,13327
173,6238,13551,6265,14392,6249,14055,6183,13520
174,6129,13597,6297,14650,6217,13926,6115,13534
175,6182,13658,6281,14635,6240,13990,6054,13531
176,6198,13668,6191,14641,6161,14169,6157,13471
177,6147,13572,6291,14706,6189,14134,6109,13609
178,6079,13664,6231,14612,6271,14149,6172,13677
179,6174,13525,6205,14649,6164,14119,6188,13413
180,6172,13673,6314,14636,6284,14165,6124,13384
181,6049,13660,6263,14713,6259,14361,6111,13463
182,6101,13545,6329,14649,6146,14156,6118,13401
183,6135,13770,6257,14821,6100,14189,6188,13405
184,6068,13692,6245,14756,6176,14329,6088,13393
185,6124,13878,6210,14980,6240,14259,6137,13547
186,6048,13725,6199,14825,6124,14415,6155,13498
187,6140,13774,6237,14810,6202,14340,6197,13659
188,6067,13874,6239,14945,6204,14420,6169,13563
189,6206,13680,6285,14941,6238,14527,6077,13674
190,6027,13829,6326,14833,6104,14529,6188,13418
191,6123,13927,6216,15041,6159,14338,6094,13663
192,6214,13776,6309,15139,6187,14524,6207,13693
193,6038,13811,6062,15157,6114,14652,6093,13646
194,6051,13847,6301,15195,6193,14632,6177,13853
195,6054,13771,6291,15076,6119,14819,6103,13781
196,6181,13782,6150,15348,6185,14620,5947,13726
197,5999,13934,6196,15198,6079,14825,6115,13743
198,6073,14037,6174,15211,6111,14749,6085,13809
199,6073,13931,6148,15210,6218,14798,6137,13703
200,6161,13914,6247,15342,6157,14831,6164,13824
201,6099,13757,6229,15436,6197,14700,6149,13835
202,6087,13967,6195,15491,6138,14871,6113,14029
203,6099,13881,6157,15510,6190,14836,6050,13909
204,6074,14007,6190,15522,6217,15011,6045,14079
205,6001,14055,6178,15453,6177,14818,6146,13886
206,6052,14036,6137,15476,6201,14815,6079,13862
207,6077,13907,6146,15444,6201,14945,6099,14078
208,6037,14031,6281,15729,6155,14614,6041,14052
209,6090,14064,6201,15567,6140,14963,6118,13909
210,6075,14123,6248,15773,6191,14674,6123,14212
211,6068,14116,6151,15659,6118,14705,6184,13819
212,6162,14205,6182,15594,6096,14865,6116,13888
213,6024,14207,6213,15461,6159,14883,6086,14066
214,6117,14145,6233,15491,6172,14716,6147,13966
215,6012,14201,6219,15475,6128,14945,6071,13964
216,6069,14221,6172,15622,6250,15140,5998,14116
217,6055,14229,6124,15677,6235,14974,6180,14250
218,6032,14363,6258,15805,6177,15061,6029,14162
219,6015,14261,6216,15864,6119,14972,6143,14184
220,5969,14404,6241,15807,6085,14914,6114,14229
221,6100,14262,6177,15777,6037,15216,6101,14275
222,6023,14308,6173,15972,6096,15052,6094,14307
223,6082,14357,6161,15900,6122,15133,6207,14392
224,6004,14310,6159,15972,6048,15169,6113,14387
225,5954,14438,6256,15860,6127,15009,6124,14241
226,5973,14628,6037,16063,6140,15317,6191,14391
227,5995,14516,6199,15992,6119,15085,5983,14293
228,6044,14485,6030,16037,6093,15284,6100,14433
229,5987,14517,6162,16037,6049,15146,6050,14391
230,5995,14501,6175,16039,6200,15491,6084,14450
231,6099,14623,6113,16427,6116,15345,6096,14551
232,6042,14454,6165,16113,6079,15264,6082,14530
233,6045,14553,6160,16423,6016,15230,6091,14563
234,5974,14633,6177,16370,6117,15585,6041,14572
235,6028,14680,6133,16337,6088,15512,6096,14688
236,6052,14588,6105,16484,6172,15481,6121,14606
237,6087,14599,6125,16229,6154,15542,6079,14561
238,6044,14810,6218,16471,6067,15622,6045,14566
239,5984,14621,6157,16647,6140,15549,6109,14741
240,5934,14747,6160,16596,6053,15692,6053,14600
241,5897,14709,6137,16590,6068,15711,6044,14457
242,5949,14732,6084,16620,6200,15788,6110,14744
243,5991,14810,6186,16434,6045,15779,6077,14835
244,5983,14923,6121,16668,6098,15697,6103,14606
245,5870,14723,6004,16625,6119,15672,6002,14998
246,5965,14833,6024,16589,6194,15868,6092,14755
247,5924,14890,6042,16899,6096,15786,6092,14801
248,5880,15089,6203,16719,6069,15751,6141,14759
249,5921,15012,6112,16755,6111,16041,6092,14828
250,6000,15025,6057,16923,6096,15831,6006,14749
251,6072,15132,6101,16881,6131,15817,5964,14769
252,5912,15200,6079,16885,6071,15798,6051,14805
253,5972,15135,6077,17082,6023,16200,6083,14924
254,5972,15198,6085,17055,6005,15955,6069,14878
255,5927,15225,6082,17074,6021,16181,6100,15010
256,5945,15147,6099,16842,6087,16230,6034,14899
257,6001,15170,6138,17074,6038,16045,6053,15049
258,5999,15231,6107,17107,6117,16086,6012,15001
259,5891,15211,6130,17222,6129,16051,6089,15161
260,5928,15335,6071,17211,6081,16305,6064,15161
261,5971,15295,6057,17140,6135,16151,5989,15121
262,5906,15276,6102,17337,6020,16191,6087,14807
263,5876,15607,6036,17375,6017,16170,5988,14993
264,5850,15465,6122,17280,6181,16241,6042,14913
265,5939,15329,6099,17205,5984,16050,5990,14799
266,5880,15559,6001,17342,6102,16193,6017,14829
267,5917,15532,6091,17411,5983,16004,6069,15054
268,5897,15497,5981,17651,6116,16259,5991,15187
269,5941,15617,6021,17632,6059,16193,6149,14855
270,5868,15600,6069,17452,6012,16236,5937,15311
271,5954,15618,6001,17483,6070,16385,5980,15000
272,5897,15611,6141,17580,6073,16545,6017,15114
273,5920,15653,5944,17748,5986,16253,6016,14967
274,5921,15623,5990,17370,6055,16292,5996,15042
275,5935,15802,6039,17730,6032,16414,6060,15061
276,5840,15804,6035,17617,6005,16478,5998,15122
277,5873,15753,6112,17672,5986,16516,6009,15190
278,5910,15920,6044,17749,6021,16600,5978,15354
279,5862,15963,6079,17670,6064,16560,6004,15290
280,5997,16055,5988,17678,6078,16577,6013,15220
281,5807,16048,6097,17742,6136,16554,5946,15141
282,5784,16071,6097,17856,6030,16740,5925,15273
283,5931,16129,6030,17935,6053,16589,5927,15308
284,5862,16132,6027,17891,6075,16727,6044,15358
285,5845,16138,6000,17928,6053,16608,5860,15464
286,5868,16198,5950,17955,5998,16461,5925,15456
287,5909,16232,6044,17761,6051,16783,5932,15334
288,5878,16153,6072,17910,6027,16783,6018,15574
289,5823,16333,6020,17698,6038,16744,5982,15476
290,5773,16298,6008,17832,5993,16867,5969,15588
291,5881,16133,6048,17856,6021,16950,5968,15648
292,5826,16434,5975,17828,6000,16765,6017,15481
293,5897,16349,6030,17773,6109,16819,5966,15642
294,5838,16206,6130,17811,5993,17021,5949,15602
295,6004,16236,5953,17955,5967,16919,5957,15447
296,5805,16475,6045,17760,5993,16959,5962,15622
297,5772,16183,6004,17792,5978,16887,5921,15457
298,5849,16392,5973,17891,6013,16902,5957,15645
299,5736,16251,5922,17720,6032,17065,5864,15617
300,5802,16215,6106,17686,5955,16888,5991,15586
301,5813,16440,6029,17882,6061,17145,6052,15692
302,5851,16308,6017,17752,6006,16952,5932,15709
303,5783,16281,5940,17843,6007,17002,5981,15714
304,5851,16355,6102,17946,6052,17126,5976,15596
305,5802,16312,6098,17744,5999,16908,5984,15734
306,5841,16549,6007,17771,5988,17019,5921,15737
307,5841,16437,5998,17845,5954,17037,5957,15701
308,5740,16285,5977,17775,5995,17173,5905,15722
309,5736,16281,5973,17722,5998,17025,5976,15713
310,5869,16355,6041,17725,5994,17140,5946,15806
311,5809,16286,6031,18012,6068,17272,5949,15703
312,5775,16289,5982,17860,5996,17088,5916,15711
313,5781,16318,6077,17783,6003,17161,5962,15829
314,5824,16299,5915,17903,5994,17148,5956,15923
315,5906,16463,6027,17900,6129,17018,5956,15911
316,5830,16391,5967,17909,6005,17094,5900,15887
317,5913,16358,6052,17932,5963,17039,6023,15913
318,5873,16403,6016,17710,6039,17345,5969,15792
319,5773,16274,6021,17728,5979,17338,6004,15848
320,5837,16416,6041,17854,6013,17142,5916,15723
321,5773,16561,6095,17981,5980,17211,5794,15866
322,5774,16301,5994,17870,5985,17310,5925,15823
323,5847,16511,5978,17800,6020,17277,5956,15777
324,5812,16386,6075,17995,5990,17240,5901,16149
325,5775,16342,5998,17753,5964,17023,5939,16052
326,5758,16385,6044,17952,5941,17085,5965,15957
327,5803,16369,6031,17933,6014,17282,5967,16045
328,5774,16335,6005,17815,5951,17336,5879,15794
329,5844,16290,5952,17561,5981,17105,6037,15881
330,5769,16342,6056,17791,5976,16959,5959,16139
331,5828,16277,6006,17868,6017,17050,5871,15993
332,5868,16663,6045,17960,5967,17146,5912,15925
333,5796,16300,6012,18004,5981,17034,6000,15917
334,5805,16277,6056,17752,5970,17114,5893,15943
335,5896,16415,6041,17897,5947,17256,5920,15931
336,5817,16292,5957,17985,5929,16973,5877,15876
337,5789,16306,6033,17874,6013,17145,5908,15843
338,5725,16507,5995,17851,5961,17111,5964,16042
339,5784,16381,5981,17820,5847,17157,5967,15839
340,5839,16411,5972,17933,5966,16980,6016,15953
341,5765,16457,6024,17862,5978,17169,6005,15964
342,5809,16338,5975,17905,5975,17103,5996,15900
343,5805,16373,5985,17917,5901,16917,5860,16000
344,5887,16376,6020,17871,5904,17010,6007,16061
345,5846,16500,6037,18037,5938,17063,5845,15995
346,5826,16510,6011,17911,6004,17031,5857,15982
347,5763,16389,6002,17736,5993,17112,5958,15847
348,5744,16377,5999,17957,5810,17224,5977,15905
349,5728,16295,6038,17915,6013,17220,5912,15976
350,5745,16295,6001,17778,5962,17038,5868,15803
351,5771,16275,5953,17805,5881,16902,5879,15930
352,5748,16319,6102,17837,6060,16825,5832,15806
353,5821,16443,6033,17920,6088,17093,5940,15883
354,5821,16349,5945,17651,5941,17129,5863,15893
355,5797,16424,6000,17820,5932,17030,5906,15917
356,5803,16387,5959,17848,6007,17177,5876,16017
357,5775,16315,6119,17792,5975,17069,5888,15820
358,5819,16431,6009,17793,5988,16917,5917,15902
359,5800,16426,6095,17933,5941,16905,5919,15853
360,5757,16353,6132,17908,5961,17213,5869,15964
361,5855,16476,6064,17768,5938,17071,5904,15914
362,5844,16484,5965,18129,5896,17027,5849,15914
363,5828,16341,5903,17864,5981,17269,5940,15721
364,5842,16466,6111,17693,5991,17012,5934,15913
365,5873,16358,6013,17912,5965,16930,5876,15690
366,5789,16307,6049,17582,5933,16855,5866,15937
367,5833,16271,5989,17868,6003,17087,5823,15812
368,5826,16169,5993,18008,6025,17065,5964,15824
369,5806,16542,5984,17881,5929,17026,5836,15760
370,5797,16356,5969,17881,5933,17076,5881,15928
371,5815,16364,6077,17849,5888,17041,5920,15636
372,5899,16561,5989,17803,5909,17120,5919,15591
373,5842,16301,6053,17792,5945,17005,5881,15872
374,5772,16456,5989,17894,6037,17086,5924,15760
375,5773,16384,5969,17800,5963,17038,5860,15774
376,5773,16333,5985,17707,5933,17048,5876,15750
377,5835,16323,5966,17791,5898,16924,5844,15847
378,5768,16381,6064,17849,5976,16967,5889,15756
379,5844,16309,6076,17921,5984,17175,5884,15943
380,5829,16272,5967,17812,5867,17010,5821,15792
381,5763,16583,6019,17764,6063,16997,5885,15774
382,5771,16459,5994,17771,5882,16983,5867,15799
383,5730,16486,5941,17866,5926,16952,5889,15671
384,5754,16225,6009,17769,5959,17001,5792,15676
385,5860,16478,6023,18021,5969,16902,5759,15730
386,5769,16253,6016,17968,5881,17053,5923,15737
387,5792,16413,5980,17896,5910,16993,5905,15765
388,5871,16346,6050,17850,5915,17046,5917,15753
389,5856,16431,6047,18020,5893,16848,5880,15837
390,5777,16385,5984,17791,5964,16844,5900,15721
391,5735,16680,5923,17960,5912,16970,5901,15544
392,5812,16334,5968,17728,6061,16940,5967,15823
393,5829,16339,6004,17774,5951,16964,5945,15677
394,5756,16469,6025,17665,5980,17063,5877,15742
395,5824,16519,5965,17748,5913,17005,5873,15889
396,5850,16313,6001,17885,6016,17073,5862,15767
397,5793,16557,5972,17857,6022,16901,5829,15754
398,5850,16406,5892,17804,6029,16971,5843,15886
399,5747,16325,6095,17833,5989,16953,5924,15878
400,5799,16405,5949,17926,5933,17083,5838,15715
401,5779,16412,5989,18119,5925,17041,5881,15760
402,5792,16312,6041,17928,5928,16873,5827,15807
